"/~nmchenry1/index_maps.html,43146.5,45.60000000000038,1525113279927.5,---Note: Column1. HTML NAME 2.Elapsed Time, 3.Tick Count 4.Global start Time Stamp in ms/Xpos 5.Description/Ypos---"
/~nmchenry1/index_maps.html,565.5,64,424
/~nmchenry1/index_maps.html,731.5,384,441
/~nmchenry1/index_maps.html,747.5,400,443
/~nmchenry1/index_maps.html,764.5,409,444
/~nmchenry1/index_maps.html,780.5,414,444
/~nmchenry1/index_maps.html,814.5,416,445
/~nmchenry1/index_maps.html,1197.5,417,445
/~nmchenry1/index_maps.html,1214.5,424,447
/~nmchenry1/index_maps.html,1246.5,442,447
/~nmchenry1/index_maps.html,1268.5,488,447
/~nmchenry1/index_maps.html,1281.5,546,444
/~nmchenry1/index_maps.html,1299.5,582,440
/~nmchenry1/index_maps.html,1314.5,605,438
/~nmchenry1/index_maps.html,1331.5,616,437
/~nmchenry1/index_maps.html,1347.5,620,435
/~nmchenry1/index_maps.html,1363.5,621,435
/~nmchenry1/index_maps.html,1399.5,622,435
/~nmchenry1/index_maps.html,1831.5,621,435
/~nmchenry1/index_maps.html,2148.5,623,431
/~nmchenry1/index_maps.html,2163.5,627,425
/~nmchenry1/index_maps.html,2180.5,633,417
/~nmchenry1/index_maps.html,2197.5,640,410
/~nmchenry1/index_maps.html,2214.5,648,403
/~nmchenry1/index_maps.html,2230.5,655,399
/~nmchenry1/index_maps.html,2264.5,662,395
/~nmchenry1/index_maps.html,2280.5,668,395
/~nmchenry1/index_maps.html,2298.5,673,394
/~nmchenry1/index_maps.html,2313.5,679,394
/~nmchenry1/index_maps.html,2329.5,684,395
/~nmchenry1/index_maps.html,2347.5,690,396
/~nmchenry1/index_maps.html,2364.5,695,399
/~nmchenry1/index_maps.html,2380.5,696,399
/~nmchenry1/index_maps.html,2647.5,697,399
/~nmchenry1/index_maps.html,2663.5,700,399
/~nmchenry1/index_maps.html,2697.5,709,393
/~nmchenry1/index_maps.html,2714.5,724,383
/~nmchenry1/index_maps.html,2729.5,740,373
/~nmchenry1/index_maps.html,2747.5,756,366
/~nmchenry1/index_maps.html,2764.5,772,359
/~nmchenry1/index_maps.html,2780.5,789,354
/~nmchenry1/index_maps.html,2797.5,803,351
