value	carat	price
14065.19995	791	738
14115.19995	788	738
14131.19995	779	744
14149.19995	769	758
14165.19995	760	779
14183.19995	748	818
14199.19995	736	868
14832.19995	698	869
14849.19995	696	858
14866.19995	694	848
14882.19995	693	843
14899.19995	692	841
14917.19995	691	839
15032.19995	693	839
15048.19995	696	839
15065.19995	699	839
15082.19995	701	839
15099.19995	702	839
15233.19995	700	839
15248.19995	697	839
15265.19995	695	839
15283.19995	692	839
15349.19995	691	839
15381.19995	690	839
15432.19995	689	839
15449.19995	686	839
15465.19995	684	839
15482.19995	681	839
15499.19995	679	838
15515.19995	677	837
15532.19995	676	837
15548.19995	667	837
15565.19995	649	837
15582.19995	627	834
15598.19995	612	829
15615.19995	609	828
15632.19995	609	825
15649.19995	610	823
15666.19995	627	822
15681.19995	647	822
15699.19995	668	822
15715.19995	678	822
15732.19995	708	826
15748.19995	729	831
15765.19995	733	833
15782.19995	735	834
15815.19995	729	834
15832.19995	708	834
15848.19995	688	831
15864.19995	670	829
15883.19995	653	828
15901.19995	636	825
15916.19995	619	822
15932.19995	604	820
15948.19995	591	819
15964.19995	580	816
15982.19995	574	815
15998.19995	564	812
16016.19995	554	811
16032.19995	543	809
16048.19995	533	806
16065.19995	523	803
16081.19995	512	799
16098.19995	501	796
16116.19995	494	793
16132.19995	484	789
16150.19995	479	787
16165.19995	474	784
16181.19995	471	783
16198.19995	468	782
16215.19995	467	781
16232.19995	466	781
16248.19995	465	780
16265.19995	464	779
16281.19995	463	778
16301.19995	459	776
16316.19995	456	774
16332.19995	453	774
16348.19995	449	772
16367.19995	448	771
16398.19995	447	770
16416.19995	446	770
16498.19995	444	770
16516.19995	439	770
16531.19995	439	770
16549.19995	436	769
16566.19995	436	767
16582.19995	437	766
16599.19995	443	763
16617.19995	445	762
16732.19995	446	763
16749.19995	446	766
16767.19995	443	767
16782.19995	436	767
16799.19995	434	767
16815.19995	430	762
16833.19995	430	760
16849.19995	429	758
16865.19995	429	757
16882.19995	429	756
16899.19995	430	752
16915.19995	432	747
16932.19995	435	734
16949.19995	436	726
16965.19995	437	716
16982.19995	438	706
16998.19995	439	699
17015.19995	442	689
17032.19995	446	679
17048.19995	448	677
17067.19995	449	675
17117.19995	449	674
17465.19995	448	674
17481.19995	447	673
