x,y,value
853,371,42562.80005
800,389,42578.80005
719,420,42595.80005
662,448,42611.80005
612,473,42627.80005
575,491,42646.80005
548,508,42661.80005
521,522,42678.80005
504,529,42695.80005
485,530,42713.80005
464,529,42728.80005
441,516,42747.80005
436,510,42762.80005
435,507,42778.80005
439,499,42795.80005
453,493,42812.80005
465,489,42828.80005
483,486,42846.80005
497,484,42861.80005
510,484,42879.80005
521,483,42902.80005
522,483,42911.80005
526,482,42928.80005
526,481,42978.80005
523,482,43044.80005
513,489,43061.80005
498,499,43078.80005
476,516,43095.80005
451,538,43112.80005
419,565,43128.80005
391,592,43144.80005
372,613,43162.80005
355,633,43178.80005
351,640,43195.80005
347,647,43212.80005
347,646,43328.80005
347,645,43445.80005
347,642,43462.80005
347,640,43478.80005
347,633,43495.80005
347,628,43512.80005
347,625,43529.80005
347,619,43545.80005
352,609,43562.80005
357,599,43578.80005
366,587,43595.80005
382,568,43611.80005
390,560,43629.80005
392,558,43645.80005
395,555,43662.80005
396,554,43678.80005
395,554,43812.80005
391,555,43828.80005
386,558,43845.80005
380,561,43862.80005
367,566,43878.80005
350,572,43895.80005
334,577,43912.80005
318,583,43929.80005
303,586,43945.80005
292,587,43961.80005
287,587,43978.80005
282,587,43994.80005
279,587,44011.80005
279,586,44029.80005
278,583,44045.80005
278,578,44062.80005
278,568,44078.80005
282,558,44095.80005
288,547,44112.80005
302,528,44129.80005
315,512,44144.80005
330,498,44161.80005
343,488,44178.80005
349,483,44195.80005
352,482,44211.80005
351,482,44411.80005
350,483,44428.80005
349,485,44444.80005
347,486,44461.80005
344,489,44478.80005
341,494,44494.80005
331,511,44511.80005
325,526,44529.80005
319,543,44544.80005
314,561,44560.80005
311,577,44578.80005
311,588,44595.80005
311,597,44611.80005
311,600,44628.80005
312,601,44645.80005
313,601,44662.80005
314,602,44678.80005
315,602,44695.80005
316,602,44744.80005
318,602,44795.80005
321,602,44828.80005
324,601,44844.80005
326,600,44862.80005
328,599,44878.80005
330,599,44895.80005
337,598,44911.80005
343,596,44928.80005
358,594,44945.80005
376,592,44961.80005
393,590,44978.80005
409,590,44995.80005
427,590,45011.80005
443,590,45028.80005
456,590,45044.80005
464,590,45061.80005
479,593,45078.80005
489,599,45095.80005
497,607,45111.80005
501,614,45129.80005
505,625,45144.80005
509,635,45166.80005
514,651,45179.80005
515,660,45195.80005
515,661,45211.80005
513,666,45227.80005
508,672,45244.80005
497,677,45261.80005
487,680,45278.80005
474,681,45294.80005
453,681,45312.80005
434,681,45329.80005
413,680,45345.80005
391,676,45361.80005
372,670,45379.80005
356,664,45395.80005
343,657,45412.80005
332,646,45428.80005
328,637,45445.80005
324,625,45461.80005
322,608,45478.80005
322,596,45494.80005
322,586,45511.80005
322,579,45528.80005
323,569,45544.80005
325,562,45563.80005
328,556,45577.80005
330,553,45595.80005
333,548,45611.80005
336,545,45628.80005
337,544,45644.80005
338,543,45661.80005
338,545,45811.80005
338,550,45828.80005
338,559,45844.80005
336,568,45861.80005
334,574,45877.80005
331,588,45894.80005
326,597,45912.80005
322,607,45927.80005
319,613,45944.80005
317,619,45961.80005
315,623,45978.80005
315,626,45995.80005
314,628,46011.80005
313,630,46028.80005
310,633,46046.80005
306,637,46065.80005
304,638,46079.80005
301,641,46096.80005
299,642,46113.80005
296,642,46145.80005
292,642,46162.80005
290,642,46178.80005
282,642,46195.80005
276,642,46211.80005
269,642,46228.80005
258,642,46244.80005
243,642,46261.80005
223,639,46278.80005
213,638,46294.80005
199,636,46310.80005
187,632,46328.80005
180,631,46344.80005
173,631,46360.80005
167,631,46378.80005
166,631,46395.80005
164,631,46411.80005
163,632,46428.80005
163,633,46444.80005
163,635,46461.80005
166,637,46478.80005
169,639,46495.80005
171,641,46512.80005
172,642,46528.80005
173,645,46545.80005
173,649,46561.80005
171,651,46578.80005
169,652,46594.80005
165,656,46610.80005
161,658,46628.80005
161,655,46713.80005
161,653,46728.80005
161,652,46745.80005
163,648,46762.80005
167,646,46778.80005
177,640,46795.80005
186,635,46812.80005
197,630,46828.80005
203,626,46845.80005
213,622,46861.80005
222,620,46878.80005
225,618,46895.80005
228,617,46912.80005
229,617,46928.80005
231,614,46947.80005
231,613,46962.80005
231,610,46977.80005
230,609,46995.80005
229,608,47012.80005
231,610,47111.80005
233,612,47128.80005
244,616,47146.80005
257,620,47162.80005
273,622,47177.80005
292,622,47195.80005
315,622,47211.80005
336,622,47228.80005
356,621,47245.80005
373,615,47261.80005
384,612,47279.80005
373,613,47361.80005
354,618,47377.80005
326,624,47395.80005
304,629,47411.80005
281,630,47436.80005
278,630,47445.80005
277,630,47462.80005
280,628,47494.80005
293,621,47511.80005
307,614,47528.80005
323,608,47545.80005
332,604,47561.80005
337,603,47579.80005
340,602,47594.80005
341,601,47611.80005
340,600,47694.80005
338,600,47711.80005
334,599,47728.80005
328,597,47746.80005
327,596,47761.80005
324,593,47779.80005
322,591,47795.80005
320,587,47812.80005
318,585,47828.80005
317,581,47845.80005
314,575,47862.80005
310,567,47879.80005
309,561,47894.80005
308,558,47911.80005
308,555,47927.80005
308,554,47946.80005
308,553,47962.80005
306,553,48044.80005
305,554,48061.80005
302,556,48078.80005
300,559,48094.80005
299,560,48112.80005
298,562,48127.80005
297,563,48179.80005
